,direct_cause,risk_factor,expression_of_risk_factor,disease
0,0,0,0,0
1,1,1,2,1
2,1,0,1,0
3,1,0,1,1
4,1,0,0,0
5,0,0,0,0
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,0,1,2,1
10,0,0,1,0
11,0,0,1,0
12,0,1,2,0
13,0,0,0,0
14,1,0,1,0
15,0,0,0,0
16,1,0,0,0
17,1,0,0,0
18,1,0,0,0
19,1,0,1,1
20,1,0,0,0
21,0,0,0,0
22,1,0,0,0
23,1,1,2,1
24,0,0,0,0
25,0,1,2,1
26,0,1,2,1
27,0,1,2,0
28,1,0,0,0
29,0,0,1,0
30,1,0,0,0
31,1,1,0,1
32,1,0,0,0
33,0,0,1,0
34,0,0,1,0
35,0,0,0,0
36,0,0,1,0
37,1,0,1,0
38,0,0,0,1
39,1,0,1,1
40,1,0,0,0
41,1,1,2,1
42,1,0,1,1
43,1,0,0,0
44,0,0,0,0
45,0,0,1,1
46,0,0,1,0
47,0,0,0,0
48,1,0,0,1
49,1,0,1,0
50,1,0,1,0
51,0,0,0,0
52,1,0,0,0
53,0,0,2,1
54,0,0,1,0
55,0,0,1,0
56,1,0,0,1
57,1,0,0,0
58,0,0,0,0
59,1,0,1,1
60,1,0,0,0
61,0,0,0,1
62,0,1,0,0
63,1,1,2,1
64,0,0,0,0
65,1,0,0,1
66,1,0,0,1
67,1,0,2,1
68,0,0,1,0
69,1,1,1,1
70,1,0,1,1
71,0,0,0,0
72,1,0,0,1
73,1,0,1,0
74,0,0,1,0
75,1,0,1,0
76,1,0,0,1
77,1,0,0,0
78,1,0,0,1
79,1,0,1,0
80,1,0,0,0
81,0,0,1,0
82,1,0,0,0
83,0,0,0,0
84,0,0,0,0
85,1,0,2,1
86,1,0,1,1
87,1,0,0,0
88,0,0,1,1
89,0,0,0,0
90,1,0,1,1
91,1,0,1,0
92,1,0,1,0
93,0,0,0,0
94,0,1,2,0
95,0,0,0,0
96,1,0,0,0
97,0,0,1,0
98,1,1,2,0
99,1,1,2,1
100,0,0,0,0
101,1,0,1,0
102,1,0,0,0
103,0,0,1,0
104,0,1,2,0
105,1,0,1,0
106,0,0,0,0
107,1,1,2,1
108,0,0,0,0
109,1,0,0,0
110,1,0,1,1
111,1,1,2,1
112,1,0,0,0
113,0,1,2,1
114,1,1,2,0
115,0,0,0,0
116,0,0,0,0
117,1,0,0,0
118,1,0,0,0
119,1,0,0,0
120,1,0,1,0
121,0,0,1,0
122,1,0,0,1
123,1,0,0,0
124,1,0,0,0
125,1,0,0,0
126,1,0,0,0
127,1,0,0,0
128,1,0,0,0
129,0,0,0,0
130,1,0,0,0
131,1,0,1,0
132,1,1,2,1
133,1,1,2,1
134,1,0,0,0
135,0,1,0,1
136,1,0,1,0
137,0,1,2,0
138,1,0,0,0
139,1,0,0,0
140,0,0,0,0
141,1,1,2,1
142,0,0,0,0
143,1,0,0,0
144,0,0,1,0
145,0,0,1,0
146,0,1,2,1
147,1,0,0,0
148,0,1,2,0
149,1,0,0,0
150,1,0,0,0
151,1,0,0,0
152,1,1,2,1
153,1,0,0,0
154,1,0,1,0
155,1,0,0,1
156,1,0,0,0
157,1,1,1,0
158,1,1,1,0
159,1,0,0,0
160,0,1,2,1
161,1,1,2,1
162,0,0,1,0
163,1,0,0,1
164,0,1,2,1
165,1,0,2,1
166,1,1,2,1
167,1,1,1,0
168,1,1,2,1
169,1,1,2,1
170,0,0,1,0
171,0,0,0,0
172,1,1,2,1
173,0,1,2,0
174,0,1,1,0
175,1,0,0,0
176,0,0,0,0
177,1,1,2,1
178,0,0,1,0
179,1,0,1,0
180,0,0,0,0
181,0,0,1,0
182,0,0,1,1
183,0,1,0,1
184,0,0,2,0
185,1,0,1,0
186,1,0,0,0
187,0,0,0,0
188,1,0,1,0
189,1,0,0,0
190,1,0,0,0
191,0,0,0,0
192,1,1,2,1
193,0,0,0,0
194,0,0,1,0
195,1,0,2,0
196,1,0,0,0
197,0,0,0,1
198,1,1,2,1
199,1,0,0,0
200,1,0,1,0
201,0,1,2,1
202,0,0,1,1
203,1,0,1,0
204,0,0,0,0
205,0,0,0,0
206,0,0,1,0
207,0,0,0,0
208,0,0,0,1
209,1,1,2,1
210,1,0,1,0
211,1,0,0,0
212,1,0,0,0
213,1,0,1,1
214,0,0,0,0
215,1,0,0,0
216,0,0,0,0
217,1,1,0,0
218,0,0,0,0
219,1,0,0,0
220,1,0,1,0
221,1,0,2,1
222,0,0,0,0
223,1,1,0,0
224,1,0,2,1
225,1,0,0,0
226,1,1,2,1
227,0,1,2,0
228,1,0,0,0
229,1,1,2,1
230,0,0,0,0
231,1,0,0,0
232,1,0,0,1
233,1,1,2,1
234,0,0,0,0
235,1,0,1,0
236,0,1,2,0
237,1,0,0,0
238,1,1,2,1
239,1,0,1,0
240,1,1,2,1
241,1,0,0,0
242,1,0,0,1
243,1,0,1,0
244,0,0,0,0
